participant,handwriting_expert,us,condition,age,forensic_scientist,forensic_specialty,handwriting_reports,confidence,familiarity,feature,est,true
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,CLCR.2.1,15,76.014
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,CLCF.2.1,15,79.814
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,CLCM.3.2,70,77.892
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,CUCH.18.10,70,74.272
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,CUCK.4.3,60,74.789
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,CUCH.28.18,70,76.335
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,PLCE.2.1,90,97.835
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,PLCV.2.1,99,98.698
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,PLCT.2.1,90,98.943
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,PUCA.2.1,5,97.686
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,PUCT.2.1,85,98.293
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,PUCK.2.1,99,98.657
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,CLCi.4.3,80,97.38
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,CLCU.3.2,90,97.468
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,CLCE.2.1,90,99.088
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,CUCH.10.5,90,80.218
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,CUCW.8.7,70,85.151
1,HW Expert,Non-US,Non-US HW Expert,52,Yes,Handwriting,20,5,5,CUCC.3.2,NA,NA
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,PLCW.6.5,0.1,1.571
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,PLCY.6.A,2,1.971
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,PLCZ.3.2,0.1,2.1
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,PUCX.4.b,1,1.096
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,PUCC.8.7,20,1.104
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,PUCF.8.7,50,1.132
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,CLCO.6.c,0.1,1.376
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,CLCG.6.a,0.5,1.386
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,CLCi.8.d,0.1,1.595
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,CUCA.1.1,1,1.051
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,CUCA.6.5,0.1,1.053
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,CUCZ.5.a,0.1,1.053
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,PLCG.7.b,20,23.57
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,PLCG.5.4,5,26.36
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,PLCA.3.2,20,26.686
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,PUCY.3.2,10,24.6
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,PUCC.2.1,0.5,24.91
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,PUCG.2.1,10,26.72
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,CLCO.4.a,30,25.459
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,CLCJ.3.2,10,26.127
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,CLCJ.6.5,20,26.127
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,CUCT.15.14,5,24.805
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,CUCB.2.1,0.5,25.995
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,CUCG.1.2,0.1,26.123
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,PLCM.6.5,20,48.005
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,PLCD.7.6,10,49.275
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,PLCY.3.2,50,51.38
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,PUCN.6.5,40,49.814
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,PUCB.6.5,10,50.613
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,PUCQ.2.1,30,50.677
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,CLCW.9.8,10,50.46
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,CLCI.5.8,0.1,50.797
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,CLCF.6.5,1,50.928
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,CUCH.2.1,20,49.272
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,CUCO.2.1,20,49.533
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,CUCJ.9.8,0.5,51.663
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,PLCN.4.3,30,76.011
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,PLCD.9.8,10,76.285
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,PLCA.2.1,5,79.627
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,PUCG.4.3,20,71.324
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,PUCJ.3.2,10,71.902
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,PUCI.13.2,10,78.272
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,CLCR.2.1,10,76.014
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,CLCF.2.1,30,79.814
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,CLCM.3.2,40,77.892
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,CUCH.18.10,30,74.272
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,CUCK.4.3,10,74.789
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,CUCH.28.18,50,76.335
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,PLCE.2.1,40,97.835
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,PLCV.2.1,80,98.698
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,PLCT.2.1,50,98.943
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,PUCA.2.1,40,97.686
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,PUCT.2.1,5,98.293
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,PUCK.2.1,40,98.657
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,CLCi.4.3,60,97.38
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,CLCU.3.2,50,97.468
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,CLCE.2.1,60,99.088
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,CUCH.10.5,1,80.218
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,CUCW.8.7,50,85.151
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,CUCC.3.2,70,94.484
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,PLCW.6.5,100,1.571
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,PLCY.6.A,0,1.971
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,PLCZ.3.2,0,2.1
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,PUCX.4.b,0,1.096
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,PUCC.8.7,100,1.104
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,PUCF.8.7,0,1.132
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,CLCO.6.c,50,1.376
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,CLCG.6.a,100,1.386
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,CLCi.8.d,0,1.595
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,CUCA.1.1,25,1.051
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,CUCA.6.5,0,1.053
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,CUCZ.5.a,0,1.053
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,PLCG.7.b,100,23.57
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,PLCG.5.4,100,26.36
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,PLCA.3.2,0,26.686
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,PUCY.3.2,0,24.6
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,PUCC.2.1,5,24.91
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,PUCG.2.1,50,26.72
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,CLCO.4.a,0,25.459
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,CLCJ.3.2,100,26.127
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,CLCJ.6.5,0,26.127
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,CUCT.15.14,100,24.805
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,CUCB.2.1,0,25.995
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,CUCG.1.2,100,26.123
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,PLCM.6.5,0,48.005
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,PLCD.7.6,100,49.275
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,PLCY.3.2,100,51.38
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,PUCN.6.5,25,49.814
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,PUCB.6.5,100,50.613
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,PUCQ.2.1,0,50.677
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,CLCW.9.8,0,50.46
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,CLCI.5.8,100,50.797
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,CLCF.6.5,100,50.928
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,CUCH.2.1,5,49.272
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,CUCO.2.1,0,49.533
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,CUCJ.9.8,50,51.663
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,PLCN.4.3,0,76.011
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,PLCD.9.8,100,76.285
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,PLCA.2.1,0,79.627
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,PUCG.4.3,100,71.324
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,PUCJ.3.2,100,71.902
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,PUCI.13.2,100,78.272
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,CLCR.2.1,0,76.014
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,CLCF.2.1,100,79.814
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,CLCM.3.2,100,77.892
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,CUCH.18.10,0,74.272
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,CUCK.4.3,25,74.789
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,CUCH.28.18,25,76.335
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,PLCE.2.1,100,97.835
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,PLCV.2.1,100,98.698
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,PLCT.2.1,0,98.943
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,PUCA.2.1,100,97.686
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,PUCT.2.1,100,98.293
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,PUCK.2.1,100,98.657
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,CLCi.4.3,100,97.38
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,CLCU.3.2,100,97.468
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,CLCE.2.1,100,99.088
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,CUCH.10.5,100,80.218
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,CUCW.8.7,100,85.151
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,CUCC.3.2,50,94.484
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,PLCW.6.5,5,1.571
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,PLCY.6.A,40,1.971
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,PLCZ.3.2,40,2.1
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,PUCX.4.b,20,1.096
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,PUCC.8.7,30,1.104
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,PUCF.8.7,30,1.132
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,CLCO.6.c,10,1.376
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,CLCG.6.a,30,1.386
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,CLCi.8.d,90,1.595
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,CUCA.1.1,5,1.051
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,CUCA.6.5,10,1.053
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,CUCZ.5.a,70,1.053
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,PLCG.7.b,95,23.57
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,PLCG.5.4,95,26.36
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,PLCA.3.2,90,26.686
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,PUCY.3.2,40,24.6
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,PUCC.2.1,5,24.91
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,PUCG.2.1,80,26.72
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,CLCO.4.a,95,25.459
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,CLCJ.3.2,70,26.127
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,CLCJ.6.5,30,26.127
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,CUCT.15.14,80,24.805
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,CUCB.2.1,15,25.995
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,CUCG.1.2,95,26.123
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,PLCM.6.5,30,48.005
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,PLCD.7.6,30,49.275
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,PLCY.3.2,95,51.38
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,PUCN.6.5,30,49.814
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,PUCB.6.5,100,50.613
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,PUCQ.2.1,30,50.677
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,CLCW.9.8,90,50.46
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,CLCI.5.8,50,50.797
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,CLCF.6.5,80,50.928
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,CUCH.2.1,40,49.272
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,CUCO.2.1,20,49.533
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,CUCJ.9.8,80,51.663
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,PLCN.4.3,20,76.011
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,PLCD.9.8,70,76.285
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,PLCA.2.1,90,79.627
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,PUCG.4.3,80,71.324
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,PUCJ.3.2,30,71.902
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,PUCI.13.2,50,78.272
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,CLCR.2.1,70,76.014
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,CLCF.2.1,90,79.814
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,CLCM.3.2,70,77.892
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,CUCH.18.10,80,74.272
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,CUCK.4.3,50,74.789
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,CUCH.28.18,95,76.335
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,PLCE.2.1,95,97.835
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,PLCV.2.1,50,98.698
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,PLCT.2.1,95,98.943
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,PUCA.2.1,80,97.686
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,PUCT.2.1,50,98.293
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,PUCK.2.1,50,98.657
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,CLCi.4.3,80,97.38
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,CLCU.3.2,80,97.468
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,CLCE.2.1,95,99.088
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,CUCH.10.5,80,80.218
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,CUCW.8.7,85,85.151
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,CUCC.3.2,80,94.484
5,Novice,Non-US,Non-US Novice,32,No,NA,0,0,0,PLCW.6.5,24,1.571
5,Novice,Non-US,Non-US Novice,32,No,NA,0,0,0,PLCY.6.A,36,1.971
5,Novice,Non-US,Non-US Novice,32,No,NA,0,0,0,PLCZ.3.2,12,2.1
5,Novice,Non-US,Non-US Novice,32,No,NA,0,0,0,PUCX.4.b,13,1.096
5,Novice,Non-US,Non-US Novice,32,No,NA,0,0,0,PUCC.8.7,49,1.104
5,Novice,Non-US,Non-US Novice,32,No,NA,0,0,0,PUCF.8.7,29,1.132
5,Novice,Non-US,Non-US Novice,32,No,NA,0,0,0,CLCO.6.c,32,1.376
5,Novice,Non-US,Non-US Novice,32,No,NA,0,0,0,CLCG.6.a,43,1.386
5,Novice,Non-US,Non-US Novice,32,No,NA,0,0,0,CLCi.8.d,5,1.595
5,Novice,Non-US,Non-US Novice,32,No,NA,0,0,0,CUCA.1.1,9,1.051
5,Novice,Non-US,Non-US Novice,32,No,NA,0,0,0,CUCA.6.5,2,1.053
5,Novice,Non-US,Non-US Novice,32,No,NA,0,0,0,CUCZ.5.a,23,1.053
5,Novice,Non-US,Non-US Novice,32,No,NA,0,0,0,PLCG.7.b,73,23.57
5,Novice,Non-US,Non-US Novice,32,No,NA,0,0,0,PLCG.5.4,52,26.36
5,Novice,Non-US,Non-US Novice,32,No,NA,0,0,0,PLCA.3.2,73,26.686
5,Novice,Non-US,Non-US Novice,32,No,NA,0,0,0,PUCY.3.2,13,24.6
5,Novice,Non-US,Non-US Novice,32,No,NA,0,0,0,PUCC.2.1,22,24.91
5,Novice,Non-US,Non-US Novice,32,No,NA,0,0,0,PUCG.2.1,65,26.72
5,Novice,Non-US,Non-US Novice,32,No,NA,0,0,0,CLCO.4.a,39,25.459
5,Novice,Non-US,Non-US Novice,32,No,NA,0,0,0,CLCJ.3.2,74,26.127
5,Novice,Non-US,Non-US Novice,32,No,NA,0,0,0,CLCJ.6.5,34,26.127
5,Novice,Non-US,Non-US Novice,32,No,NA,0,0,0,CUCT.15.14,33,24.805
5,Novice,Non-US,Non-US Novice,32,No,NA,0,0,0,CUCB.2.1,31,25.995
5,Novice,Non-US,Non-US Novice,32,No,NA,0,0,0,CUCG.1.2,17,26.123
5,Novice,Non-US,Non-US Novice,32,No,NA,0,0,0,PLCM.6.5,63,48.005
5,Novice,Non-US,Non-US Novice,32,No,NA,0,0,0,PLCD.7.6,67,49.275
5,Novice,Non-US,Non-US Novice,32,No,NA,0,0,0,PLCY.3.2,97,51.38
5,Novice,Non-US,Non-US Novice,32,No,NA,0,0,0,PUCN.6.5,90,49.814
5,Novice,Non-US,Non-US Novice,32,No,NA,0,0,0,PUCB.6.5,5,50.613
5,Novice,Non-US,Non-US Novice,32,No,NA,0,0,0,PUCQ.2.1,27,50.677
5,Novice,Non-US,Non-US Novice,32,No,NA,0,0,0,CLCW.9.8,37,50.46
5,Novice,Non-US,Non-US Novice,32,No,NA,0,0,0,CLCI.5.8,43,50.797
5,Novice,Non-US,Non-US Novice,32,No,NA,0,0,0,CLCF.6.5,47,50.928
5,Novice,Non-US,Non-US Novice,32,No,NA,0,0,0,CUCH.2.1,48,49.272
5,Novice,Non-US,Non-US Novice,32,No,NA,0,0,0,CUCO.2.1,62,49.533
5,Novice,Non-US,Non-US Novice,32,No,NA,0,0,0,CUCJ.9.8,37,51.663
5,Novice,Non-US,Non-US Novice,32,No,NA,0,0,0,PLCN.4.3,54,76.011
5,Novice,Non-US,Non-US Novice,32,No,NA,0,0,0,PLCD.9.8,43,76.285
